,beta,dist_from_start,dist_to_origin,f_opt,start_distance
20,0.99,2.845913018798284,12.47300192224306,0.3785547332626473,12.944826973175566
19,0.98,5.579739094634893,12.758402606398253,0.38626536284547497,13.914915520234715
15,0.94,1.8771888425408936,11.271876443143366,0.4062053387823181,12.307698062068024
11,0.9,1.6350311625171468,13.128245831677527,0.4219350906962542,13.181223105948684
5,0.6,2.1554205015368955,14.616942056573418,0.47469028578644734,15.874261121408406
10,0.89,2.518753550182589,14.955503602983011,0.490668652955028,14.697744879071752
9,0.87,1.8340734132318661,14.878883637845624,0.4966762985665324,15.87825889162978
8,0.85,1.5135571854038168,15.524067802477138,0.49828338449619525,15.760825896993765
16,0.95,2.2498257448447365,14.26939062959139,0.5002629700574357,14.762036027593632
2,0.3,2.407010960377675,15.297537937276132,0.5218125397534207,15.208657041045342
3,0.4,1.8057251222811623,15.380047225295701,0.539397654299764,15.495703186210392
14,0.93,1.7997990203850924,15.833233052350328,0.5394598817948182,15.407894808394136
17,0.96,1.9349111576137226,14.885257383247941,0.5415034779400665,14.93422212559921
18,0.97,4.491691369156261,16.06528992308751,0.5456558222528676,17.09189971164784
0,0.1,1.7527746856143935,15.86747659185524,0.5551258374634404,15.48001124067613
13,0.92,2.1240235310294855,15.65467844784689,0.5574829943412875,15.754740776908756
1,0.2,1.9205491704814484,15.244752820701345,0.5711036828098863,15.695561374935625
4,0.5,1.8189350987777377,14.40678504241528,0.5728348693969779,14.152274255510758
7,0.8,1.7407874943890995,16.392100050069935,0.5983471241196954,16.846970351481154
6,0.7,2.3576700216784516,17.154555361691163,0.6573585112718734,17.122054917293426
21,0.999,7.5452501568487005,10.089609757797245,0.7044801736463892,13.392792624039703
12,0.91,2.0537585624191372,17.53215045369229,0.7066500212948241,17.71166214468684
