,dist_from_start,f_opt,iterations,start_distance,x_0,x_opt,dist_to_origin
0,2.036973451757865,0.8439925712512465,1753,19.216315460539104,[ 15.62520062 -11.18570005],[ 15.64516861 -13.22257563],20.48433076518328
1,0.984386010928143,0.9411999259105738,1685,22.434689712387733,[-13.44311655 -17.9610111 ],[-12.51602416 -17.63007983],21.621067862510188
2,1.2766173915950718,0.3721449104309691,1778,12.509329032555435,[  3.51408214 -12.00560451],[  3.12904117 -13.22277147],13.587957311531543
3,7.474213740936167,0.15666012959060271,1884,15.902832962454367,[ -3.17085868 -15.58350896],[-9.41259883e-06 -8.81523104e+00],8.815231040772575
4,2.0288600694012717,0.21610987723730402,1845,11.06834359828205,[9.02736729 6.40428527],[9.38721298 4.40759194],10.370469335323278
5,1.6018202884780186,0.4712273681091872,1689,14.230748691686474,[10.94011909 -9.1009891 ],[12.51622815 -8.81514221],15.308909153989553
6,1.4893644701148474,0.5294275984718485,1834,16.596807724341527,[ 10.75720096 -12.63869669],[  9.38711408 -13.22270736],16.215976714408875
7,24.271329905128454,0.2353019888841693,1946,14.283321449655105,[12.95438605  6.01640704],[-6.25812761 -8.81520697],10.810737030033206
8,8.05679220200816,0.05882562188411267,1924,10.722040475208507,[-2.134366  10.5074561],[3.12907596 4.40761353],5.405383743451837
9,1.770613137644077,0.314568802606756,1714,11.31712702761928,[11.24933123 -1.2368957 ],[ 1.25162844e+01 -4.22784997e-06],12.516284413075986
10,2.1691325906859587,0.23530198886544273,1403,11.962723472363908,[ 5.26321416 10.74268726],[6.25812055 8.81517657],10.81070815294679
11,13.837711383341052,0.21610987723878328,1861,13.87526922103611,[10.20031349 -9.40620543],[9.38721301 4.40759651],10.370471302741084
12,0.6681197620168378,0.4712273680414151,1539,14.964676144204265,[12.55197623 -8.1479706 ],[12.51622284 -8.81513303],15.308899521345058
13,2.1120324041079677,0.8644356699265342,1661,19.434964234034577,[18.21454967  6.77849651],[18.77429521  8.81500475],20.740744183545754
14,10.831590292426348,0.21610987724259012,1864,14.226634533171062,[12.9869288   5.80833973],[ 9.38721298 -4.40759852],10.370472133005654
15,7.365637883346783,0.058825621883804025,1863,12.155145420808331,[10.1160248   6.73896153],[3.12907521 4.40761924],5.405387965602053
16,7.600242688832456,0.47122736807146426,1823,22.587165502985588,[-19.86707406  10.74613482],[-12.51623111   8.81512554],15.308901971699154
17,2.1111693911424525,0.8644356698985735,1738,21.609808899385335,[-18.64636797  10.92230754],[-18.77429053   8.81501733],20.740745295330463
18,1.1576954732198155,0.5294275984831857,1948,15.821430473838829,[ 8.26146834 13.49317617],[ 9.38712463 13.22270116],16.215977757651842
19,3.4779771773639774,0.8439925712368957,1935,18.277589752666657,[-15.46017929   9.74952017],[-15.64516329  13.22257447],20.484325955358948
20,2.1436087421609575,0.156660129512738,1784,7.067862302017378,[-1.10841128 -6.98040844],[-7.43547103e-06 -8.81521070e+00],8.81521070139777
21,8.668973729490839,0.05882562190231122,1755,12.465354731325876,[  0.0689129  -12.46516424],[-3.12907697 -4.40762328],5.40539227919959
22,8.291762231416111,0.2353019888318294,2009,3.1733560782375654,[-2.92901908  1.22107986],[-6.25811184  8.81518693],10.810711563892415
23,8.310469169663392,0.3145688026480393,1852,17.422189739268,[-15.62470007   7.70723317],[-1.25162794e+01 -1.14110516e-05],12.516279442346303
24,0.3471046801901069,0.705278093876799,1506,18.83070702321912,[-6.60511513 17.63428425],[-6.2580344  17.63020619],18.70794389509033
25,29.52643047800905,1.0025291797228688,1894,18.693889164089402,[-3.17811801 18.42175502],[-21.90338971  -4.40748711],22.34243548617281
26,2.3963157519340657,0.5306779936032098,1665,15.237704931630658,[13.95902546  6.11009491],[15.64533047  4.40753667],16.254314658258465
27,6.442915202948622,0.7052780938899782,1395,17.861965813951613,[-11.4013771   13.74985174],[-6.25802289 17.63019499],18.707929489920073
28,2.414494733017785,0.058825621923279,1881,4.322288853984091,[-3.78650422 -2.08436243],[-3.1290677  -4.40762781],5.405390601139365
29,1.8872291001977188,0.37214491041735465,1770,13.955819220083992,[  1.36335621 -13.88906584],[  3.12904686 -13.22275494],13.587942542766609
30,1.4976255552646844,0.15666012952498765,1835,9.607526749469873,[ 1.32358337 -9.5159181 ],[-9.40686971e-06 -8.81521526e+00],8.815215259944123
31,22.434305746796674,0.058825621922499516,1760,17.590224871121137,[15.99181399 -7.32652006],[-3.12907588  4.40760303],5.405375135874154
32,1.289378862976612,1.3344022932260913,1883,24.474516670292235,[17.94661985 16.64093754],[18.77399998 17.62984602],25.75411706435796
33,18.699934124647513,0.07864224985644896,1992,18.84953567167674,[ 3.57784906 18.50686335],[6.25815767e+00 1.37556268e-05],6.2581576721578625
34,34.72509457724299,0.5294275984812992,1852,19.202615570652107,[16.31445188 10.12813431],[ -9.38711153 -13.22270789],16.215975670461923
35,9.33546469331296,0.058825621950499674,1643,7.200229811083608,[6.17922605 3.69600796],[-3.12907865  4.40760102],5.40537510182865
36,13.580585383643934,1.0025291797259892,1952,21.735543697046943,[-14.75863104  15.95671237],[-21.90338864   4.4074813 ],22.342433292084166
37,1.0764394413117195,0.6266374146856881,1678,17.05802864215182,[-0.89652198 17.03445301],[-5.95696322e-06  1.76302557e+01],17.63025574062816
38,0.25739234494148167,0.5306779935493295,1512,16.00582843928832,[-15.42408343  -4.27600213],[-15.64531639  -4.40755743],16.254306738724907
39,1.9096756761354192,0.8644356700117443,2039,20.095307628582216,[ 17.3684027  -10.10742184],[18.77428441 -8.8149986 ],20.740731800172785
40,1.8459517147949758,0.4712273680565897,1809,13.629082340424095,[10.71153428  8.42703499],[12.51622921  8.81512511],15.308900172995108
41,18.694898808855008,0.058825621885330026,1887,13.890148031861974,[-12.82094463  -5.34411744],[3.129073   4.40760954],5.405378777896412
42,16.477542940004984,0.5294275984452413,1970,12.696957953531433,[12.34035446 -2.98804169],[ 9.38712177 13.22269049],16.21596740727116
43,1.2996594159876678,0.37214491042866993,1656,12.353895921833178,[-3.22169761 11.92641643],[-3.12903573 13.22276838],13.587953056961835
