,f_opt,iterations,x_0,x_opt,dist_to_origin
2360,2.2476993968429538e+120,1000,[19.67304193  8.53936012],[ 5.79303728e+59 -3.35188619e+61],3.352386759342479e+61
2361,inf,1000,[ -8.16833554 -16.38394431],[6.49748420e+157 1.31004951e+157],inf
2362,inf,1000,[-18.94495959  16.44059024],[-3.12745251e+158 -1.23861248e+158],inf
2363,73.90644615409737,1000,[ 10.76385909 -13.61509741],[183.64312233  52.86518076],191.10082081161977
2364,100.10830017940364,1000,[-0.684355   16.23679629],[214.12941372  59.40094939],222.2158378866876
2365,1.3105819527279692e+299,1000,[-19.7312158   19.21690667],[-8.09161532e+150  2.34220347e+149],8.0950044864965e+150
2366,inf,1000,[ 11.37461751 -14.68088072],[9.80144904e+158 7.32738301e+158],inf
2367,inf,1000,[18.61555998 10.98690471],[1.59272662e+159 8.88874692e+158],inf
2368,19.66471949661676,1000,[ 2.91999116 -3.03910468],[ 95.79724192 -12.16521132],96.56657769114905
2369,0.9041960514065385,1000,[-19.40936337   8.75889361],[-18.49031181   8.8093324 ],20.481600720144275
2370,75.92956170503813,1000,[18.80119465  5.82569151],[-163.34866187  105.48581665],194.44804666110312
2371,inf,1000,[13.61607609  5.1710082 ],[-2.00830007e+159 -3.89467369e+159],inf
2372,inf,1000,[ 12.76321102 -18.27375767],[ 3.45951202e+158 -6.02945191e+158],inf
2373,41.92858119897184,1000,[-5.23814678 10.63741922],[-30.60029087 138.9292237 ],142.25929495198625
2374,0.3150814849620833,1000,[-12.761745    -0.09525697],[-1.25482512e+01 -6.84485483e-04],12.548251170667998
2375,155.91938857788648,1000,[-9.91081839 17.82300322],[ -78.92749986 -266.07460724],277.5342264477088
2376,inf,1000,[ -6.57574201 -18.47549884],[-5.68226453e+158  1.39946618e+159],inf
2377,25.179647874964928,1000,[-10.46462048  18.46202635],[-89.72215682 -62.91738   ],109.58404140313505
2378,0.2178041826646009,1000,[-9.05770536 -4.49865769],[-9.44530011 -4.40542175],10.422160763874516
2379,inf,1000,[  8.51421035 -15.89972383],[8.34947746e+157 1.10383958e+158],inf
2380,176.79854042579987,1000,[ 11.3762331  -12.23186875],[  36.03570994 -294.21986074],296.41845227177083
2381,152.4135541457273,1000,[-5.64216925 -3.15244108],[  37.54112162 -271.80670069],274.38698648161323
