,dist_from_start,f_opt,iterations,start_distance,x_0,x_opt,dist_to_origin
0,2.815098285696783,0.07864226192004686,21,6.234642117932857,[5.60143362 2.73764566],[6.25815009e+00 2.19522198e-04],6.258150094350303
1,2.748505431363911,0.23530198890248977,31,12.041650199362778,[  4.70642802 -11.08381138],[ 6.25811904 -8.81521334],10.810737260540318
2,2.231113360542803,0.9411999259636507,24,23.235213953898185,[-12.11747946  19.82528332],[-12.51603359  17.63005636],21.621054184831703
3,2.9806452246591806,0.4712273680702488,28,13.760533484359787,[-12.46216401  -5.83495929],[-12.51622215  -8.81511426],15.30888814558708
4,1.2426389085718317,0.7052780939402579,23,17.545893690603965,[ -5.46588127 -16.67280802],[ -6.25802512 -17.63023143],18.707964574774884
5,2.9080215476710856,0.8644356905421545,22,21.391707598351392,[-17.96753198  11.60917518],[-18.77429517   8.81530287],20.740870852020162
6,0.18224910607881248,0.7052780941859528,15,18.661010920987287,[ -6.40777415 -17.52637324],[ -6.25802518 -17.63024808],18.70798029112024
7,2.2436287859925264,0.05882562233067423,24,7.64897727269391,[4.42840283 6.23667393],[3.12907213 4.4075731 ],5.405348552978529
8,2.42454123384257,0.23530198886046627,25,11.90682939371663,[-8.60966024  8.22473931],[-6.25811903  8.81520874],10.810733504483576
9,1.48505721706983,0.9411999259988822,20,22.884754854936258,[13.89372051 18.18451361],[12.5160339 17.6300999],21.621089869376412
10,2.9905868043559063,0.529427598447982,32,18.841841129441672,[12.12755426 14.42003484],[ 9.38711501 13.22270359],16.215974174441225
11,2.302836442998972,0.058825622033724656,25,5.452818678868733,[4.71538761 2.73831174],[3.12907216 4.40764064],5.405403642944562
12,2.863634778838008,0.5294275987188289,26,15.289779886340028,[  6.58235726 -13.80036021],[  9.38711483 -13.22265862],16.215937403222394
13,1.8768377673531582,0.7052780945965985,20,20.003868238477217,[-7.99723158 18.33573101],[-6.25802524 17.63026568],18.707996894569227
14,1.2865884896322575,0.47122736812923793,20,16.11541706220961,[-13.74070409  -8.42019705],[-12.51622212  -8.81510698],15.30888392911462
15,0.06654024721522125,0.058825621993937594,15,5.4588559018332505,[3.12752182 4.47411612],[3.12907214 4.40759393],5.4053655479468325
16,2.212479926777351,1.3344022931999304,29,23.596155309712298,[16.87773039 16.49002008],[18.77400949 17.62984156],25.754120944950735
17,3.598864019082518,0.23530198887576526,30,8.357217162772939,[6.52167663 5.22597481],[6.25811897 8.81517522],10.810706139575553
18,2.3957085040206185,0.6266374147182764,25,18.857599807535053,[  2.12444932 -18.73755015],[ 2.74135627e-33 -1.76302407e+01],17.630240657313546
19,1.7382114796943458,1.3344022931958959,24,27.384562733178395,[19.53213039 19.19401361],[18.7740095  17.62984231],25.75412146732999
20,0.7567354183694552,0.8439925717746587,19,20.7276271640417,[ 15.35619009 -13.92199532],[ 15.64516517 -13.22260852],20.48434937395897
21,3.0508215131789163,0.07864225169019401,27,9.281168546889447,[-9.26768339 -0.50013408],[-6.25815009e+00  8.70787956e-05],6.2581500921235556
22,2.5723796713357308,0.07864224986387325,30,4.66994914655653,[ 4.34279036 -1.71714791],[ 6.25815009e+00 -1.82526106e-05],6.258150091725963
