,dist_from_start,f_opt,iterations,start_distance,x_0,x_opt,dist_to_origin
0,0.2509741988501106,0.05882562189321383,582,5.198079793253644,[3.1211078  4.15676793],[3.12907805 4.40761554],5.405386591550837
1,3.5796922452004005,0.8644356699383106,16,22.797883735855073,[ 19.14670146 -12.37527075],[18.77429357 -8.81500265],20.74074180696585
2,1.3421341594363205,0.530677993589307,16,17.22459006472191,[16.29503809  5.58195634],[15.64532152  4.40756608],16.254314020834375
3,2.804283211047407,0.37214491417934503,10000,14.259291590923286,[-5.92195165 12.97142573],[-3.12895404 13.22275961],13.58792570798676
4,1.6226921573549835,0.47122736812857846,10,14.445914570538804,[-10.99241308  -9.37290257],[-12.51622212  -8.81510704],15.308883967628706
5,0.910079346173767,0.8644356699242184,8,19.830691078316256,[17.95347085  8.42194711],[18.77429358  8.81500494],20.74074279241176
6,0.46354866086567337,0.05882562189342044,112,5.208518896763159,[-3.34133363  3.99551732],[-3.12907808  4.40761554],5.405386611226648
7,2.236564464616774,0.07864224981732704,15,4.022095146076621,[4.021913   0.03827791],[6.25815009e+00 1.21817031e-05],6.258150091715838
8,1.266903805219646,0.8439925712117029,8,20.031524851989108,[ 16.02820258 -12.01493695],[ 15.64516477 -13.22254917],20.48431076147926
9,1.7102888455983059,0.3721449114378693,10000,15.295624292525124,[  3.42483814 -14.90726689],[  3.12899535 -13.22275955],13.58793516615051
10,2.515239420277142,0.8439925712082582,9,21.014891955916056,[-14.33306784  15.36843682],[-15.64516478  13.22254983],20.4843111896434
11,2.655024147856651,0.5306779935844297,10,14.516137492590348,[-13.3398219    5.72428156],[-15.64532145   4.40753366],16.254305159414
12,1.2370610158882547,0.4712273680592324,14,14.40892550613156,[-11.28724173  -8.95629993],[-12.51622223  -8.81513728],15.30890146692867
13,0.9010138831469552,0.9411999259119078,559,20.82504082522318,[12.3906072  16.73783674],[12.51604375 17.63007644],21.62107643952098
14,0.9488990441796652,0.7052780938786043,344,19.020599812391264,[ 5.50435927 18.20673629],[ 6.25803504 17.63021029],18.70794798008064
15,2.2868434273526668,0.529427598424516,7,18.50264312838877,[10.73466361 15.07032846],[ 9.38711209 13.22269274],16.21596363614138
16,1.9360532465327387,0.4712273681141772,12,17.14481524156655,[14.38158749  9.3335219 ],[12.51622225  8.81514489],15.308905870709708
17,2.0060422785149448,0.8644356699414151,17,19.09139219875447,[-16.78745069   9.09190604],[-18.77429371   8.81502989],20.740753515308395
18,0.5250673605628782,0.21610987727191855,14,9.86241439210697,[-8.87160311 -4.30834956],[-9.38720858 -4.40758026],10.37046038732294
19,2.600355136257349,0.23530198883018005,418,8.845938220758864,[3.79143507 7.99222391],[6.25812711 8.81519247],10.810724916089459
20,2.6784716783226994,0.5306779935788503,17,18.93148372945735,[-18.24641437   5.04672554],[-15.64532152   4.40756477],16.254313662420223
21,0.5461710368625896,0.8644356699264446,13,20.801295337992222,[-19.05368926   8.34570629],[-18.77429358   8.81500455],20.740742623633878
22,2.88614029339358,1.4706153915010836,452,24.67860750357941,[-15.56350722  19.15230825],[-15.644858    22.03730181],27.025992172032176
23,1.4965047615928224,0.05882562189344365,475,6.736571379922485,[3.25325563 5.89895938],[3.12907808 4.40761554],5.405386613419915
24,3.395082850097468,0.3145688026294763,12,13.352067585306745,[-12.91951174  -3.37104216],[-1.25162845e+01  1.04008171e-05],12.516284537719217
25,2.055727887514057,0.47122736807362364,16,17.358783997662883,[ 14.09652097 -10.12992983],[12.51622224 -8.81513971],15.308902874040253
26,1.7541825216133107,0.21610987731633868,8,11.360903534049632,[-10.83487775  -3.41695087],[-9.38720862 -4.40761247],10.370474116381496
27,0.4636147934300533,0.05882562189312723,534,5.86516053750605,[-3.44562553  4.7463431 ],[-3.12907803  4.40761555],5.405386583271014
28,1.3774179254839385,1.334402293237309,10,26.410041739886175,[18.39200071 18.95322174],[18.77400943 17.62983613],25.754117190051424
29,1.4520771397208418,0.7052780938785657,2395,17.750629452496327,[  4.9253431  -17.05361666],[  6.25803504 -17.63021029],18.707947978803034
30,2.856825872759309,0.5306779935943636,17,18.622206181267877,[-18.31226832   3.38339945],[-15.64532145   4.40753246],16.2543048324306
31,3.5330462432659826,0.21610987726689723,11,9.66820044556708,[-9.62781545  0.88276239],[-9.38720861  4.40760623],10.370471454260437
32,1.9675924680256958,0.235301988830102,249,11.909469686942924,[  5.42951917 -10.5998014 ],[ 6.2581271  -8.81519247],10.810724911346147
33,2.650885984543649,0.8644356699252819,10,22.200320388095584,[19.0169022  11.45476564],[18.77429358  8.81500475],20.740742711046636
34,1.2308172738525243,0.5294275984230179,6014,15.38054149683976,[-8.17142876 13.03030348],[-9.38711703 13.22269164],16.215965597858197
35,1.381523185606874,0.7077790678400471,16,18.935164607877095,[-18.88502214   1.37709752],[-1.87743876e+01  1.13500905e-05],18.774387604155596
36,1.0547470763250784,0.8644356699414136,10,21.599267805434977,[19.8089479  -8.61010759],[18.77429357 -8.81500219],20.740741611857743
37,0.9726977709572905,0.8439925712553167,10,21.455797715641392,[16.41910901 13.8117383 ],[15.64516473 13.22254292],20.484306689923695
38,1.6850359124091627,0.21610987725545783,14,9.410552554667673,[7.87528696 5.15153905],[9.38720861 4.40760427],10.370470620994917
39,1.312967770084424,0.5306779935719569,16,17.567268941555618,[-16.9074863    4.76926043],[-15.64532152   4.40756384],16.254313408159955
40,2.3864600167688996,0.8439925712410734,18,18.118313652042435,[14.02551109 11.4698879 ],[15.64516495 13.2225752 ],20.484327695388394
41,2.6135956995777483,0.07864224981091683,11,3.7701336491682276,[ 3.71894677 -0.61914674],[ 6.25815009e+00 -1.10882003e-05],6.258150091714443
42,2.1524660387571055,0.6266374147177183,1232,18.159461179649334,[-2.11388702 18.03600599],[-1.00003375e-05  1.76302549e+01],17.630254850320995
43,0.8963423242002426,0.21610987730904963,9,11.26618118564894,[-10.2127175   -4.75680982],[-9.38720857 -4.40757557],10.370458386991293
44,2.689394945733798,0.3721449174174638,10000,16.170859959335772,[ -4.5140108  -15.52805262],[ -3.12892255 -13.22275965],13.587918495962798
